area,crime_rate,light_level,crowd_density,sos_count,time_risk,user_rating,feedback_text,sentiment_score,psi_score
Shivajinagar,0.4,0.56,0.59,4,0.47,4,Good lighting and safe,0.71,79.55
Hinjewadi,0.28,0.9,0.33,4,0.37,5,Highly secure area,0.66,88.1
Warje,0.3,0.48,0.88,4,0.14,5,Highly secure area,-0.03,80.75
Sinhagad Road,0.34,0.6,0.26,6,0.39,1,Not recommended after 9pm,-0.01,60.05
Sinhagad Road,0.73,0.19,0.56,6,0.7,4,Mostly safe locality,0.87,48.3
Deccan,0.49,0.45,0.61,4,0.66,4,Not recommended after 9pm,0.71,70.7
Wakad,0.21,0.27,0.12,3,0.99,2,Not recommended after 9pm,-0.05,61.3
Aundh,0.81,0.85,0.29,6,0.57,5,Risky area,0.08,43.05
Akurdi,0.94,0.25,0.33,6,0.8,5,Not recommended after 9pm,-0.8,11.45
Hadapsar,0.58,0.22,0.22,6,0.95,2,Crime prone area,0.47,40.35
Magarpatta,0.75,0.31,0.9,4,0.22,5,Comfortable route,-0.54,51.15
Bhosari,0.79,0.86,0.66,0,0.29,4,Comfortable route,0.84,94.7
Yerwada,0.47,0.75,0.41,5,0.55,3,Crowded but manageable,0.6,69.55
Dhayari,0.48,0.58,0.8,3,0.25,4,Comfortable route,-0.83,65.05
Akurdi,0.73,0.58,0.23,4,0.67,3,Good lighting and safe,-0.71,37.75
NIBM,0.76,0.94,0.34,1,0.52,3,Risky area,-0.04,71.1
Aundh,0.88,0.56,0.93,0,0.48,1,Very safe route,-0.47,65.85
Baner,0.8,0.72,0.94,3,0.91,1,Crime prone area,0.79,66.85
Deccan,0.33,0.15,0.82,6,0.57,2,Not recommended after 9pm,-0.03,55.4
Aundh,0.42,0.4,0.94,4,0.98,3,Crime prone area,-0.77,47.45
Kothrud,0.86,0.26,0.47,0,0.47,1,Crowded but manageable,-0.26,60.9
Warje,0.15,0.56,0.34,4,0.47,4,Good lighting and safe,-0.44,69.8
Pashan,0.32,0.84,0.51,4,0.95,1,Highly secure area,0.84,78.5
Baner,0.41,0.15,0.63,3,0.21,5,Not recommended after 9pm,-0.11,71.3
Viman Nagar,0.56,0.93,0.5,3,0.15,1,Comfortable route,-0.5,71.05
Bhosari,0.81,0.69,0.27,5,0.45,2,Crime prone area,-0.29,42.3
Aundh,0.81,0.48,0.74,2,0.69,3,Crowded but manageable,-0.54,50.3
Kothrud,0.54,0.66,0.37,1,0.21,4,Feels unsafe at night,0.67,92.85
Wakad,0.53,0.62,0.67,2,0.46,4,Good lighting and safe,0.16,78.0
Pimpri,0.29,0.33,0.18,5,0.24,4,Risky area,0.39,71.2
Camp,0.34,0.94,0.36,2,0.69,2,Comfortable route,-0.33,75.35
Yerwada,0.13,0.52,0.8,0,0.32,1,Feels unsafe at night,0.41,100.0
Shivajinagar,0.71,0.59,0.64,4,0.68,3,Crime prone area,-0.02,52.95
Bhosari,0.86,0.26,0.3,6,0.98,2,Mostly safe locality,-0.35,17.65
Balewadi,0.39,0.82,0.48,3,0.42,4,Highly secure area,-0.2,75.1
Balewadi,0.27,0.26,0.2,6,0.81,4,Crowded but manageable,-0.22,45.6
Kondhwa,0.51,0.85,0.81,3,0.77,2,Feels unsafe at night,0.55,78.3
Wakad,0.29,0.82,0.37,6,0.62,3,Not recommended after 9pm,0.2,65.0
Wakad,0.24,0.25,0.14,6,0.68,2,Crowded but manageable,-0.79,40.1
Sus,0.14,0.71,0.14,1,0.6,2,Comfortable route,-0.54,81.35
Hinjewadi,0.3,0.94,0.76,4,0.77,3,Very safe route,-0.33,69.35
Nigdi,0.77,0.58,0.47,3,0.99,2,Not recommended after 9pm,-0.23,44.35
Chinchwad,0.83,0.2,0.37,1,0.76,4,Comfortable route,-0.03,52.85
Magarpatta,0.58,0.11,0.48,5,0.55,5,Comfortable route,-0.8,35.25
Sus,0.73,0.57,0.55,5,0.71,2,Highly secure area,-0.81,33.5
Chinchwad,0.38,0.53,0.85,6,0.36,3,Mostly safe locality,0.54,72.15
Chinchwad,0.33,0.76,0.44,1,0.24,2,Mostly safe locality,-0.12,91.0
Dhayari,0.92,0.82,0.94,1,0.81,2,Highly secure area,-0.43,57.25
Magarpatta,0.54,0.68,0.4,1,0.97,5,Crowded but manageable,0.55,76.45
Hadapsar,0.38,0.78,0.88,4,0.87,3,Comfortable route,-0.51,60.25
Nigdi,0.79,0.11,0.79,1,0.67,4,Very safe route,-0.6,50.55
Kondhwa,0.79,0.89,0.8,5,0.93,1,Feels unsafe at night,0.86,59.05
Deccan,0.69,0.26,0.89,0,0.49,5,Feels unsafe at night,-0.04,74.8
Dhayari,0.84,0.11,0.38,0,0.31,2,Very safe route,-0.28,61.45
Sinhagad Road,0.87,0.25,0.39,4,0.72,2,Mostly safe locality,0.18,41.15
Magarpatta,0.91,0.5,0.22,6,0.8,1,Comfortable route,-0.29,22.95
Kharadi,0.4,0.25,0.35,1,0.53,3,Comfortable route,-0.69,65.3
Chinchwad,0.51,0.88,0.18,3,0.59,3,Not recommended after 9pm,-0.63,58.35
Akurdi,0.66,0.27,0.82,5,0.33,5,Mostly safe locality,-0.79,42.4
Viman Nagar,0.48,0.93,0.55,5,0.82,1,Good lighting and safe,-0.06,57.95
Hadapsar,0.19,0.19,0.28,4,0.39,1,Good lighting and safe,0.41,76.4
Aundh,0.92,0.19,0.32,4,0.24,5,Feels unsafe at night,0.83,56.9
Yerwada,0.44,0.38,0.29,4,0.87,2,Very safe route,0.66,63.5
Hadapsar,0.74,0.93,0.26,1,0.97,5,Very safe route,0.02,62.85
Kondhwa,0.44,0.27,0.92,5,0.85,2,Not recommended after 9pm,-0.59,44.8
Bibwewadi,0.54,0.87,0.73,1,0.32,1,Crowded but manageable,-0.68,77.15
Shivajinagar,0.4,0.86,0.54,2,0.72,3,Highly secure area,-0.03,77.45
Akurdi,0.41,0.63,0.28,2,0.9,5,Mostly safe locality,0.54,75.95
Shivajinagar,0.79,0.56,0.16,0,0.32,4,Highly secure area,0.48,79.2
Kothrud,0.75,0.76,0.29,5,0.75,3,Crime prone area,0.74,55.4
Balewadi,0.93,0.48,0.92,4,0.27,1,Good lighting and safe,-0.67,43.75
Katraj,0.17,0.93,0.22,0,0.55,3,Not recommended after 9pm,0.15,100.0
Yerwada,0.19,0.84,0.58,3,0.69,4,Feels unsafe at night,0.08,83.2
Akurdi,0.14,0.91,0.56,2,0.45,1,Not recommended after 9pm,-0.04,94.05
Magarpatta,0.77,0.67,0.26,3,0.44,4,Crime prone area,-0.88,44.85
Warje,0.45,0.74,0.33,6,0.84,5,Comfortable route,0.62,58.9
Nigdi,0.13,0.49,0.94,4,0.9,4,Risky area,-0.89,60.2
Karve Nagar,0.94,0.34,0.83,6,0.98,4,Crowded but manageable,0.69,36.55
Warje,0.85,0.17,0.48,6,0.17,2,Highly secure area,0.73,50.9
Dhayari,0.59,0.37,0.94,3,0.62,1,Not recommended after 9pm,0.44,70.55
Camp,0.75,0.66,0.12,0,0.36,4,Risky area,0.14,76.0
Chinchwad,0.48,0.24,0.34,2,0.38,4,Good lighting and safe,0.29,74.55
Magarpatta,0.66,0.35,0.47,0,0.4,3,Risky area,0.04,76.15
Yerwada,0.8,0.7,0.27,6,0.3,2,Risky area,-0.09,43.85
Katraj,0.45,0.46,0.87,0,0.8,3,Good lighting and safe,-0.69,71.25
Yerwada,0.48,0.3,0.41,5,0.42,1,Risky area,-0.01,55.85
Baner,0.75,0.52,0.24,5,0.15,2,Crime prone area,0.66,62.1
Hadapsar,0.41,0.52,0.6,2,0.53,3,Comfortable route,0.08,78.0
Chinchwad,0.85,0.6,0.91,5,0.58,1,Very safe route,-0.68,37.3
Balewadi,0.22,0.34,0.81,1,0.89,3,Good lighting and safe,-0.32,76.8
Hinjewadi,0.27,0.9,0.3,2,0.47,3,Very safe route,-0.36,80.9
Bibwewadi,0.35,0.48,0.88,3,0.17,5,Mostly safe locality,-0.77,72.05
Dhayari,0.2,0.88,0.23,4,0.59,4,Good lighting and safe,-0.71,65.05
Kharadi,0.93,0.49,0.37,6,0.71,4,Crime prone area,0.64,39.25
Baner,0.88,0.4,0.82,0,0.86,4,Comfortable route,0.09,63.15
Karve Nagar,0.36,0.6,0.13,0,0.64,4,Feels unsafe at night,-0.23,79.65
Akurdi,0.27,0.71,0.31,4,0.54,2,Highly secure area,-0.21,69.0
Sinhagad Road,0.86,0.61,0.3,3,0.66,3,Crime prone area,0.06,50.45
Viman Nagar,0.92,0.88,0.73,4,0.73,2,Good lighting and safe,-0.02,48.8
Pimpri,0.19,0.48,0.94,5,0.44,1,Crowded but manageable,-0.79,63.35
Nigdi,0.38,0.9,0.8,3,0.11,5,Very safe route,0.2,92.1
Hadapsar,0.9,0.23,0.34,3,0.18,3,Very safe route,0.11,53.9
Pashan,0.66,0.3,0.89,5,0.31,2,Very safe route,0.7,66.3
Chinchwad,0.38,0.78,0.34,3,0.31,3,Feels unsafe at night,-0.2,75.7
Chinchwad,0.44,0.52,0.94,3,0.62,3,Crowded but manageable,0.11,73.85
Kothrud,0.91,0.13,0.81,3,0.2,5,Crowded but manageable,0.22,57.95
Bhosari,0.8,0.43,0.44,2,0.41,3,Good lighting and safe,-0.2,57.65
Chinchwad,0.58,0.14,0.8,4,0.93,1,Crowded but manageable,0.22,51.6
Aundh,0.9,0.23,0.58,6,0.4,2,Feels unsafe at night,0.1,36.75
Hinjewadi,0.88,0.47,0.34,3,0.52,3,Comfortable route,-0.88,36.65
Hinjewadi,0.77,0.61,0.88,3,0.14,1,Highly secure area,-0.19,66.5
Warje,0.51,0.71,0.5,4,0.94,3,Good lighting and safe,-0.69,46.1
Magarpatta,0.15,0.54,0.11,1,0.44,4,Good lighting and safe,0.89,100.0
Bibwewadi,0.21,0.52,0.67,5,0.43,5,Crowded but manageable,-0.62,63.2
Wakad,0.52,0.36,0.5,1,0.85,3,Feels unsafe at night,0.65,77.35
Hadapsar,0.8,0.39,0.76,3,0.32,3,Crowded but manageable,0.09,61.4
Warje,0.21,0.48,0.3,4,0.74,3,Mostly safe locality,-0.44,60.4
Pimpri,0.71,0.12,0.53,2,0.63,4,Feels unsafe at night,0.23,59.55
Camp,0.66,0.23,0.56,2,0.5,5,Feels unsafe at night,-0.84,50.05
Wakad,0.65,0.35,0.42,0,0.94,3,Highly secure area,-0.36,59.25
Baner,0.24,0.66,0.46,4,0.38,3,Crowded but manageable,0.83,89.75
Viman Nagar,0.1,0.41,0.18,6,0.75,5,Very safe route,0.14,61.05
Dhayari,0.85,0.52,0.34,3,0.85,3,Mostly safe locality,-0.09,43.85
Pashan,0.13,0.7,0.77,4,0.27,1,Highly secure area,0.22,90.9
Kondhwa,0.16,0.88,0.91,1,0.31,4,Feels unsafe at night,0.14,100.0
Bibwewadi,0.44,0.72,0.47,1,0.39,3,Highly secure area,-0.73,74.15
Nigdi,0.49,0.94,0.83,2,0.17,2,Highly secure area,-0.8,77.4
Pashan,0.35,0.73,0.93,3,0.19,5,Crime prone area,0.16,89.85
Akurdi,0.12,0.75,0.11,0,0.48,4,Comfortable route,0.5,100.0
Kothrud,0.48,0.95,0.7,6,0.55,4,Risky area,-0.84,48.45
Warje,0.49,0.2,0.83,1,0.36,2,Crowded but manageable,0.23,82.95
Camp,0.71,0.49,0.94,0,0.28,3,Mostly safe locality,-0.62,73.45
Pimpri,0.37,0.11,0.66,5,0.92,1,Not recommended after 9pm,-0.88,36.85
Hadapsar,0.64,0.79,0.59,2,0.6,4,Crowded but manageable,-0.89,56.8
Warje,0.19,0.34,0.4,1,0.66,4,Feels unsafe at night,0.78,95.0
Yerwada,0.42,0.69,0.61,6,0.61,1,Very safe route,0.21,60.6
Kothrud,0.75,0.57,0.37,0,0.65,3,Risky area,-0.11,67.6
Yerwada,0.2,0.51,0.72,0,0.74,4,Feels unsafe at night,-0.0,92.05
Bibwewadi,0.11,0.29,0.95,2,0.75,5,Feels unsafe at night,0.02,84.75
Katraj,0.56,0.58,0.52,1,0.16,5,Risky area,0.43,89.75
Sus,0.24,0.7,0.36,3,0.57,2,Very safe route,-0.57,69.55
Camp,0.36,0.1,0.56,6,0.4,2,Very safe route,0.67,64.75
Sus,0.13,0.74,0.45,6,0.44,5,Feels unsafe at night,0.39,77.45
Viman Nagar,0.86,0.44,0.23,0,0.59,1,Risky area,0.3,67.2
Balewadi,0.76,0.92,0.95,5,0.5,5,Not recommended after 9pm,-0.03,57.45
